 Category,Number, Course Code, Course Title, Course Description, Credit Hours, Department
Agricultural & Food Sciences,1,ABIZ 1000,Introduction to Agribusiness Management,"Introduction to management principles applied to agribusiness. Topics covered will include cooperative and corporate organizations, financial analysis, marketing and planning. All students will prepare a business plan. Students will use spreadsheet skills with respect to processing information and preparing forecasts.",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,2,ABIZ 1010,Economics of World Food Issues and Policies,"Determinants of global food consumption, production and the factors underpinning food security and malnutrition. The importance of international trade in balancing countries' supply and demand for food, examination of trade barriers and institutions facilitating trade.",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,3,ABIZ 2210,Transportation Principles,"This course is a study of demand forecasting, cost analysis, regulation of carriers, role of transport in economic development, project appraisal, and transport planning focusing upon the agricultural, agri-food and other supply chains. Also offered as SCM 2210. May not be held with SCM 2210.",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,4,ABIZ 2390,Introduction to Environmental Economics,"Economics of management of water, air and land resources quality, and the economics of conservation. The economic implications of environmental standards, licensing criteria and pollution charges will be illustrated by current issues. Students may not hold credit for both ABIZ 2390 and ECON 2390. Prerequisite:[ A grade of C"" or better in ECON 1010 or ECON 1011 or the former ECON 1200 or the former ECON 1201] or [a grade of ""C"" or better in both ECON 1210 (or ECON 1211 and ECON 1220 (or ECON 1221)].""",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,5,ABIZ 2510,Introduction to Agricultural and Food Marketing,Economic principles and institutions involved in the Canadian agricultural and food marketing system with applications to farming and agribusiness. May not be held with ABIZ 0450. Prerequisite: A minimum grade of C in ECON 1010 (or ECON 1011 or the former ECON 1200 or the former ECON 1201) or both ECON 1210 (ECON 1211) and ECON 1220 (ECON 1221).,3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,6,ABIZ 2520,Introduction to Management Sciences,"(Lab required) An introduction to management science techniques and models relevant to the agricultural and agri-food sectors. Topics include linear programming, distribution problems, decision theory and queuing models. May not be held with MSCI 2150 or MSCI 2151. Prerequisites: A minimum grade of C in [MATH 1300 (MATH 1301) or MATH 1210] and [MATH 1500 (MATH 1501) or MATH 1510 or MATH 1520]. Pre- or corequisite: AGRI 2400 or STAT 1000 or STAT 1001.",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,7,ABIZ 2610,Agricultural Law,"This course explores the complex set of laws affecting the agricultural and agri-food sectors,focusing upon those laws critical for effective planning and sound decision making with respect to farm operations, agribusinesses and agri-food sector institutions. Topics include but are not limited to Manitoba's and Canada's legal systems, the major laws affecting the stakeholders listed above, and the legal resolution of issues in the agricultural and agri-food sectors. May not be held with the former DAGR 0760.",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,8,ABIZ 2620,Agricultural Human Resource Management,"Students will carry out processes such as job analysis and design, recruitment and selection, training and development, performance management and compensation management to develop a comprehensive human resource management plan for an agricultural enterprise. An overview of human resource legislation will be provided and resources to support human resource management decision making will be identified. May not be held with AGRI 3030 when titled “Agricultural Human Resource Management” or HRIR 2440 or the former DAGR 0530. Prerequisite: ABIZ 1000 (C) or DAGR 0480 (C).",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,9,ABIZ 3080,Introduction to Econometrics,"(Lab required) The application of statistical tools, especially regression analysis for estimating economic relationships and testing economic hypotheses and model specification through the use of spreadsheets and data sets related to agricultural and agri-food sector applications. May not be held with ECON 3040 (or the former ECON 3180). Prerequisites: A minimum grade of D in [AGRI 2400 or STAT 2000 (STAT 2001) or ECON 2040 or the former ECON 3170] and [ECON 1010 (ECON 1011) and ECON 1020 (ECON 1021) or the former ECON 1200 (the former ECON 1201)].",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,10,ABIZ 3120,Commodity Futures Markets,"Theory and economic functions of commodity markets, including futures and options markets, with a focus on agricultural commodities. The roles of the various participants; the determination of inter-temporal prices and various aspects of hedging will be studied. Prerequisites: A minimum grade of C in [ECON 1010 (ECON 1011) or the former ECON 1200 (the former ECON 1201)] or [ECON 1210 (ECON 1211) and ECON 1220 (ECON 1221)] and a minimum grade of D in AGRI 2400 or STAT 2000 (STAT 2001).",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,11,ABIZ 3510,Economics of Food Policy,"Economics of market intervention; trade policy analysis, and agricultural protection, exports, subsidies, tariffs, quotas; intermediate versus final goods; currency exchange rates and agricultural trade policy; trade agreements. Not to be held with ABIZ 3500. Prerequisites: ECON 2010 or the former ECON 2450.",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,12,ABIZ 3520,Food Distribution and International Merchandising (3,"An introduction to management concepts and their application to domestic and international merchandising. Prerequisites: (ABIZ 1000), and (ABIZ 2510 or MKT 2210).",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,13,ABIZ 3530,Farm Management,"Management decisions and business planning as they relate to farm production, marketing and financing activities. Identifying potential markets; comparative advantage analysis; organizational form and contractual requirements; alternative marketing and production strategies; financing production and marketing activities; develop farm business plan. Prerequisite: ABIZ 1000.",3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,14,ABIZ 3540,Financial Risk Management,Topics explored will include risk expected returns and valuation of capital; addressing risk in the context of capital budgeting; derivative securities (i.e. futures and options) and financial risk management; the management of risk within and outside of agricultural production; and public policy. Prerequisites: A minimum grade of D in [AGRI 2400 or STAT 1000 (STAT 1001)] and [ABIZ 1000 or ABIZ 2510].,3,Agribusiness and Agric Econ Department
Agricultural & Food Sciences,15,ABIZ 3550,Environmental Policy,"Environmental policy development and enactment in Canada; federal and provincial review processes; socio-political aspects of policy development; chemical and pesticide licensing procedures and environmental effects monitoring; environmental policy and sustainability; case studies; discussion of various policies; ethics of development, preservation and conservation; environmental risk management. Prerequisite: ABIZ 2390 or ECON 2390.",3,Agribusiness and Agric Econ Department
